levelBackground,levelBackground,-720,-480,0,1,-100
floor,floor,200,230,1,1,0
floor,floor,330,230,1,1,0
floor,floor,460,230,1,1,0
floor,floor,-710,110,1,1,0
floor,floor,-710,-10,1,1,0
floor,floor,-710,-130,1,1,0
floor,floor,-710,-250,1,1,0
floor,floor,-710,-370,1,1,0
floor,floor,460,350,1,1,0
floor,floor,590,350,1,1,0
floor,floor,720,350,1,1,0
floor,floor,720,230,1,1,0
floor,floor,1110,230,1,1,0
floor,floor,1110,110,1,1,0
floor,floor,1110,-10,1,1,0
floor,floor,1240,230,1,1,0
floor,floor,1370,350,1,1,0
floor,floor,1500,350,1,1,0
floor,floor,1630,350,1,1,0
coin,coin,-320,90,1,1,0
coin,coin,580,20,1,1,0
trap,trap,470,330,1,1,0
floor,floor,850,230,1,1,0
floor,floor,980,230,1,1,0
floor,floor,1760,350,1,1,0
floor,floor,1890,350,1,1,0
floor,floor,2040,-130,1,1,0
floor,floor,1910,-130,1,1,0
floor,floor,980,110,1,1,0
floor,floor,1240,-130,1,1,0
floor,floor,1240,-10,1,1,0
floor,floor,1240,110,1,1,0
floor,floor,1500,-130,1,1,0
floor,floor,1640,-130,1,1,0
coin,coin,1570,-340,1,1,0
coin,coin,1780,-340,1,1,0
coin,coin,1980,-340,1,1,0
splenda,splenda,1620,-50,1,1,0
splenda,splenda,2020,-60,1,1,0
floor,floor,2020,350,1,1,0
floor,floor,1240,350,1,1,0
floor,floor,1110,350,1,1,0
floor,floor,2150,350,1,1,0
floor,floor,2280,350,1,1,0
floor,floor,2410,350,1,1,0
coin,coin,2220,-250,1,1,0
coin,coin,2330,-80,1,1,0
coin,coin,2410,110,1,1,0
floor,floor,-710,-490,1,1,0
floor,floor,2540,350,1,1,0
floor,floor,2670,350,1,1,0
spike,spike,2800,310,1,1,0
floor,floor,2670,410,1,1,0
floor,floor,2800,410,1,1,0
floor,floor,2930,350,1,1,0
floor,floor,2930,410,1,1,0
floor,floor,3190,350,1,1,0
spike,spike,3060,310,1,1,0
floor,floor,3190,410,1,1,0
floor,floor,3320,350,1,1,0
floor,floor,3450,350,1,1,0
floor,floor,3580,350,1,1,0
coin,coin,2800,70,1,1,0
coin,coin,3050,70,1,1,0
floor,floor,3710,350,1,1,0
floor,floor,3840,350,1,1,0
floor,floor,3970,350,1,1,0
floor,floor,4100,350,1,1,0
floor,floor,4230,350,1,1,0
floor,floor,4360,350,1,1,0
floor,floor,4490,350,1,1,0
trap,trap,3840,340,1,1,0
trap,trap,4230,340,1,1,0
floor,floor,3450,100,1,1,0
floor,floor,3320,220,1,1,0
floor,floor,3680,30,1,1,0
floor,floor,3810,30,1,1,0
floor,floor,3940,30,1,1,0
floor,floor,3940,-370,1,1,0
floor,floor,4070,-370,1,1,0
floor,floor,4200,-370,1,1,0
floor,floor,4330,-370,1,1,0
floor,floor,4460,-370,1,1,0
floor,floor,4590,-370,1,1,0
floor,floor,4720,-370,1,1,0
floor,floor,4850,-370,1,1,0
floor,floor,4200,30,1,1,0
floor,floor,4460,30,1,1,0
floor,floor,4720,30,1,1,0
floor,floor,4620,350,1,1,0
floor,floor,4750,350,1,1,0
floor,floor,4880,350,1,1,0
floor,floor,5010,350,1,1,0
coin,coin,3940,-510,1,1,0
trap,trap,4630,340,1,1,0
coin,coin,4060,-510,1,1,0
coin,coin,4190,-510,1,1,0
coin,coin,4320,-510,1,1,0
coin,coin,4440,-510,1,1,0
coin,coin,4570,-510,1,1,0
coin,coin,4690,-510,1,1,0
coin,coin,4840,-510,1,1,0
coin,coin,4720,-130,1,1,0
floor,floor,4850,30,1,1,0
coin,coin,4850,-130,1,1,0
floor,floor,5140,350,1,1,0
floor,floor,5140,470,1,1,0
floor,floor,5270,470,1,1,0
floor,floor,5140,590,1,1,0
floor,floor,5270,590,1,1,0
floor,floor,5400,590,1,1,0
floor,floor,5140,710,1,1,0
floor,floor,5270,710,1,1,0
floor,floor,5400,710,1,1,0
floor,floor,5530,710,1,1,0
floor,floor,5660,710,1,1,0
floor,floor,5790,710,1,1,0
floor,floor,5920,710,1,1,0
floor,floor,6050,710,1,1,0
floor,floor,6180,710,1,1,0
floor,floor,6310,710,1,1,0
floor,floor,5790,140,1,1,0
floor,floor,5920,140,1,1,0
floor,floor,6050,140,1,1,0
floor,floor,6180,140,1,1,0
floor,floor,6310,140,1,1,0
floor,floor,6440,140,1,1,0
floor,floor,6570,140,1,1,0
floor,floor,6700,140,1,1,0
floor,floor,6440,710,1,1,0
floor,floor,6570,710,1,1,0
floor,floor,6700,710,1,1,0
splenda,splenda,5780,250,1,1,0
splenda,splenda,5910,250,1,1,0
splenda,splenda,6180,250,1,1,0
splenda,splenda,6430,250,1,1,0
splenda,splenda,6690,250,1,1,0
coin,coin,6050,280,1,1,0
coin,coin,6310,280,1,1,0
coin,coin,6570,280,1,1,0
floor,floor,6830,710,1,1,0
floor,floor,6960,710,1,1,0
floor,floor,7090,710,1,1,0
floor,floor,7220,710,1,1,0
floor,floor,7220,590,1,1,0
floor,floor,7350,590,1,1,0
floor,floor,7350,710,1,1,0
floor,floor,7350,470,1,1,0
floor,floor,6830,140,1,1,0
floor,floor,6960,140,1,1,0
floor,floor,6960,260,1,1,0
floor,floor,7090,260,1,1,0
coin,coin,5780,-50,1,1,0
coin,coin,5890,-50,1,1,0
coin,coin,6000,-50,1,1,0
coin,coin,6110,-50,1,1,0
coin,coin,6220,-50,1,1,0
floor,floor,7480,470,1,1,0
floor,floor,7610,470,1,1,0
floor,floor,7740,470,1,1,0
floor,floor,7870,470,1,1,0
floor,floor,8000,470,1,1,0
floor,floor,8000,590,1,1,0
floor,floor,8000,710,1,1,0
floor,floor,8000,830,1,1,0
floor,floor,8000,950,1,1,0
floor,floor,8000,1070,1,1,0
floor,floor,8000,1190,1,1,0
floor,floor,8000,1310,1,1,0
floor,floor,8000,1430,1,1,0
floor,floor,8000,1550,1,1,0
floor,floor,8000,1670,1,1,0
floor,floor,8000,1790,1,1,0
floor,floor,8000,1910,1,1,0
floor,floor,8000,2030,1,1,0
floor,floor,8000,2150,1,1,0
floor,floor,8000,2270,1,1,0
floor,floor,8000,2390,1,1,0
floor,floor,8000,2510,1,1,0
coin,coin,8270,490,1,1,0
coin,coin,8270,600,1,1,0
coin,coin,8480,920,1,1,0
coin,coin,8480,1030,1,1,0
coin,coin,8250,1280,1,1,0
coin,coin,8250,1390,1,1,0
coin,coin,8710,1670,1,1,0
coin,coin,8770,1790,1,1,0
coin,coin,8840,1910,1,1,0
floor,floor,8000,2640,1,1,0
floor,floor,8130,2640,1,1,0
floor,floor,8260,2640,1,1,0
floor,floor,8390,2640,1,1,0
floor,floor,8520,2640,1,1,0
floor,floor,8650,2640,1,1,0
floor,floor,8780,2640,1,1,0
floor,floor,8910,2640,1,1,0
floor,floor,9040,2640,1,1,0
floor,floor,9170,2640,1,1,0
floor,floor,9300,2640,1,1,0
floor,floor,9430,2640,1,1,0
floor,floor,9560,2640,1,1,0
floor,floor,9690,2640,1,1,0
floor,floor,9820,2640,1,1,0
floor,floor,9950,2640,1,1,0
endGoal,endGoal,0,0,1,1,0
floor,floor,10080,2640,1,1,0
floor,floor,10210,2640,1,1,0
floor,floor,10210,2520,1,1,0
floor,floor,10210,2400,1,1,0
floor,floor,10210,2280,1,1,0
floor,floor,10210,2160,1,1,0
floor,floor,10210,2040,1,1,0
floor,floor,10210,1920,1,1,0
floor,floor,10210,1800,1,1,0
floor,floor,10210,1680,1,1,0
floor,floor,3060,410,1,1,1
trap,trap,3450,340,1,1,1
bag,bag,-660,-310,0,1,5
text,Clock_001,420,-450,0,1,100
text,bagText,-450,-300,0,1,100
